dataset	description	version	name	taxon_id	genbank_accession	mart	n_gene	n_bp_genesets	n_cc_genesets	n_mf_genesets	ncbi_genome_link
ccgca000347755v4_eg_gene	Ceratitis capitata (Mediterranean fruit fly) genes (Ccap_2.0)	Ccap_2.0	Ceratitis capitata (Mediterranean fruit fly)	7213	GCA_000347755.4	metazoa_mart	14260	2684	646	1683	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/347/755//GCA_000347755.4_Ccap_2.1/GCA_000347755.4_Ccap_2.1_assembly_report.txt
celegans_eg_gene	Caenorhabditis elegans (Nematode, N2) genes (WBcel235)	WBcel235	Caenorhabditis elegans (Nematode, N2)	6239	GCA_000002985.3	metazoa_mart	46926	3415	748	1859	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/985//GCA_000002985.3_WBcel235/GCA_000002985.3_WBcel235_assembly_report.txt
cfgca000648655v2_eg_gene	Copidosoma floridanum (Parasitoid wasp, CFLO.00-Male) genes (Cflo_2.0)	Cflo_2.0	Copidosoma floridanum (Parasitoid wasp, CFLO.00-Male)	29053	GCA_000648655.2	metazoa_mart	12932	2538	599	1521	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/648/655//GCA_000648655.2_Cflo_2.0/GCA_000648655.2_Cflo_2.0_assembly_report.txt
cfgca003227725v1rs_eg_gene	Camponotus floridanus (Florida carpenter ant, SB8) genes (Cflo_v7.5)	Cflo_v7.5	Camponotus floridanus (Florida carpenter ant, SB8)	104421	GCA_003227725.1	metazoa_mart	14020	2703	690	1686	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/227/725//GCA_003227725.1_Cflo_v7.5/GCA_003227725.1_Cflo_v7.5_assembly_report.txt
cggca020080835v1_eg_gene	Cotesia glomerata (White butterfly parasite wasp, CgM1) genes (MPM_Cglom_v2.3)	MPM_Cglom_v2.3	Cotesia glomerata (White butterfly parasite wasp, CgM1)	32391	GCA_020080835.1	metazoa_mart	17144	2538	602	1546	https://ftp.ncbi.nih.gov/genomes/all/GCA/020/080/835//GCA_020080835.1_MPM_Cglom_v2.3/GCA_020080835.1_MPM_Cglom_v2.3_assembly_report.txt
cgigas_eg_gene	Crassostrea gigas (Pacific oyster) genes (cgigas_uk_roslin_v1)	cgigas_uk_roslin_v1	Crassostrea gigas (Pacific oyster)	29159	GCA_902806645.1	metazoa_mart	36012	2997	654	1757	https://ftp.ncbi.nih.gov/genomes/all/GCA/902/806/645//GCA_902806645.1_cgigas_uk_roslin_v1/GCA_902806645.1_cgigas_uk_roslin_v1_assembly_report.txt
chgca902728285_eg_gene	Clytia hemisphaerica (Jellyfish, Z4C2) genes (Clytia_hemisphaerica_genome_assembly)	Clytia_hemisphaerica_genome_assembly	Clytia hemisphaerica (Jellyfish, Z4C2)	252671	GCA_902728285.1	metazoa_mart	21903	2553	577	1500	https://ftp.ncbi.nih.gov/genomes/all/GCA/902/728/285//GCA_902728285.1_Clytia_hemisphaerica_genome_assembly/GCA_902728285.1_Clytia_hemisphaerica_genome_assembly_assembly_report.txt
cigca013357705v1rs_eg_gene	Chelonus insularis (Parasitoid wasp, UGA/USDA-ARS -01) genes (ASM1335770v1)	ASM1335770v1	Chelonus insularis (Parasitoid wasp, UGA/USDA-ARS -01)	460826	GCA_013357705.1	metazoa_mart	11574	2392	571	1518	https://ftp.ncbi.nih.gov/genomes/all/GCA/013/357/705//GCA_013357705.1_ASM1335770v1/GCA_013357705.1_ASM1335770v1_assembly_report.txt
cjaponica_eg_gene	Caenorhabditis japonica (Nematode) genes (C_japonica-7.0.1)	C_japonica-7.0.1	Caenorhabditis japonica (Nematode)	281687	GCA_000147155.1	metazoa_mart	32410	2269	538	1427	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/147/155//GCA_000147155.1_C_japonica-7.0.1/GCA_000147155.1_C_japonica-7.0.1_assembly_report.txt
clectularius_eg_gene	Cimex lectularius (Bed bug, Harlan) genes (Clec_2.0)	Clec_2.0	Cimex lectularius (Bed bug, Harlan)	79782	GCA_000648675.3	metazoa_mart	14647	2622	632	1631	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/648/675//GCA_000648675.3_Clec_2.1/GCA_000648675.3_Clec_2.1_assembly_report.txt
cqgca015732765v1_eg_gene	Culex quinquefasciatus (Southern house mosquito, JHB) genes (VPISU_Cqui_1.0_pri_paternal)	VPISU_Cqui_1.0_pri_paternal	Culex quinquefasciatus (Southern house mosquito, JHB)	7176	GCA_015732765.1	metazoa_mart	18482	2651	614	1601	https://ftp.ncbi.nih.gov/genomes/all/GCA/015/732/765//GCA_015732765.1_VPISU_Cqui_1.0_pri_paternal/GCA_015732765.1_VPISU_Cqui_1.0_pri_paternal_assembly_report.txt
cquinquefasciatus_eg_gene	Culex quinquefasciatus (Southern house mosquito, Johannesburg) genes (CpipJ2)	CpipJ2	Culex quinquefasciatus (Southern house mosquito, Johannesburg)	7176	GCA_000209185.1	metazoa_mart	19793	2741	650	1663	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/209/185//GCA_000209185.1_CulPip1.0/GCA_000209185.1_CulPip1.0_assembly_report.txt
cremanei_eg_gene	Caenorhabditis remanei (Nematode) genes (C_remanei-15.0.1)	C_remanei-15.0.1	Caenorhabditis remanei (Nematode)	31234	GCA_000149515.1	metazoa_mart	32936	2380	558	1515	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/515//GCA_000149515.1_ASM14951v1/GCA_000149515.1_ASM14951v1_assembly_report.txt
csgca000671375v2_eg_gene	Centruroides sculpturatus (Bark scorpion, CEXI.00-Female) genes (Cexi_2.0)	Cexi_2.0	Centruroides sculpturatus (Bark scorpion, CEXI.00-Female)	218467	GCA_000671375.2	metazoa_mart	30358	2753	620	1614	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/671/375//GCA_000671375.2_Cexi_2.0/GCA_000671375.2_Cexi_2.0_assembly_report.txt
csonorensis_eg_gene	Culicoides sonorensis (Biting Midge) genes (Cson1)	Cson1	Culicoides sonorensis (Biting Midge)	179676	GCA_900258525.1	metazoa_mart	15612	2475	579	1485	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/258/525//GCA_900258525.1_Culicoides_sonorensis_GenomeVersion1.0/GCA_900258525.1_Culicoides_sonorensis_GenomeVersion1.0_assembly_report.txt
cteleta_eg_gene	Capitella teleta (Bristle worm) genes (Capitella teleta v1.0)	Capitella teleta v1.0	Capitella teleta (Bristle worm)	283909	GCA_000328365.1	metazoa_mart	33516	3263	678	1897	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/328/365//GCA_000328365.1_Capca1/GCA_000328365.1_Capca1_assembly_report.txt
cvgca002022765v4_eg_gene	Crassostrea virginica (Eastern oyster, RU13XGHG1-28) genes (C_virginica_3.0)	C_virginica_3.0	Crassostrea virginica (Eastern oyster, RU13XGHG1-28)	6565	GCA_002022765.4	metazoa_mart	39530	2903	615	1680	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/022/765//GCA_002022765.4_C_virginica-3.0/GCA_002022765.4_C_virginica-3.0_assembly_report.txt
dagca023375885v2rs_eg_gene	Dermacentor andersoni (Rocky Mountain wood tick, qqDerAnde1) genes (qqDerAnde1.2)	qqDerAnde1.2	Dermacentor andersoni (Rocky Mountain wood tick, qqDerAnde1)	34620	GCA_023375885.2	metazoa_mart	32684	2475	574	1525	https://ftp.ncbi.nih.gov/genomes/all/GCA/023/375/885//GCA_023375885.2_qqDerAnde1.2/GCA_023375885.2_qqDerAnde1.2_assembly_report.txt
dananassae_eg_gene	Drosophila ananassae (Fruit fly, TSC#14024-0371.13) genes (dana_caf1)	dana_caf1	Drosophila ananassae (Fruit fly, TSC#14024-0371.13)	7217	GCA_000005115.1	metazoa_mart	15887	6269	1035	2389	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/115//GCA_000005115.1_dana_caf1/GCA_000005115.1_dana_caf1_assembly_report.txt
derecta_eg_gene	Drosophila erecta (Fruit fly, TSC#14021-0224.01) genes (dere_caf1)	dere_caf1	Drosophila erecta (Fruit fly, TSC#14021-0224.01)	7220	GCA_000005135.1	metazoa_mart	14846	6269	1037	2389	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/135//GCA_000005135.1_dere_caf1/GCA_000005135.1_dere_caf1_assembly_report.txt
dggca004324835v1_eg_gene	Dendronephthya gigantea (Carnation coral, DGI-Jeju-01) genes (DenGig_1.0)	DenGig_1.0	Dendronephthya gigantea (Carnation coral, DGI-Jeju-01)	151771	GCA_004324835.1	metazoa_mart	29721	2683	614	1587	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/324/835//GCA_004324835.1_DenGig_1.0/GCA_004324835.1_DenGig_1.0_assembly_report.txt
dggca904063045v1_eg_gene	Dimorphilus gyrociliatus (Segmented worms) genes (Dgyrociliatus_assembly)	Dgyrociliatus_assembly	Dimorphilus gyrociliatus (Segmented worms)	2664684	GCA_904063045.1	metazoa_mart	14204	2897	703	1859	https://ftp.ncbi.nih.gov/genomes/all/GCA/904/063/045//GCA_904063045.1_Dgyrociliatus_assembly/GCA_904063045.1_Dgyrociliatus_assembly_assembly_report.txt
dgrimshawi_eg_gene	Drosophila grimshawi (Fruit fly, TSC#15287-2541.00) genes (dgri_caf1)	dgri_caf1	Drosophila grimshawi (Fruit fly, TSC#15287-2541.00)	7222	GCA_000005155.1	metazoa_mart	14988	5524	950	2106	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/155//GCA_000005155.1_dgri_caf1/GCA_000005155.1_dgri_caf1_assembly_report.txt
dmelanogaster_eg_gene	Drosophila melanogaster (Fruit fly) genes (BDGP6.46)	BDGP6.46	Drosophila melanogaster (Fruit fly)	7227	GCA_000001215.4	metazoa_mart	23932	7573	1276	2919	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/001/215//GCA_000001215.4_Release_6_plus_ISO1_MT/GCA_000001215.4_Release_6_plus_ISO1_MT_assembly_report.txt
dmgca020631705v2_eg_gene	Daphnia magna (Fresh water planktonic, NIES) genes (ASM2063170v1.1)	ASM2063170v1.1	Daphnia magna (Fresh water planktonic, NIES)	35525	GCA_020631705.2	metazoa_mart	28335	2824	659	1718	https://ftp.ncbi.nih.gov/genomes/all/GCA/020/631/705//GCA_020631705.2_ASM2063170v1.1/GCA_020631705.2_ASM2063170v1.1_assembly_report.txt
dmojavensis_eg_gene	Drosophila mojavensis (Fruit fly, TSC#15081-1352.22) genes (dmoj_caf1)	dmoj_caf1	Drosophila mojavensis (Fruit fly, TSC#15081-1352.22)	7230	GCA_000005175.1	metazoa_mart	14758	6061	1009	2333	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/175//GCA_000005175.1_dmoj_caf1/GCA_000005175.1_dmoj_caf1_assembly_report.txt
dngca001186385v1_eg_gene	Diuraphis noxia (Russian wheat aphid, RWA2) genes (Dnoxia_1.0)	Dnoxia_1.0	Diuraphis noxia (Russian wheat aphid, RWA2)	143948	GCA_001186385.1	metazoa_mart	13175	2404	575	1465	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/186/385//GCA_001186385.1_Dnoxia_1.0/GCA_001186385.1_Dnoxia_1.0_assembly_report.txt
dngca001272555v1rs_eg_gene	Dufourea novaeangliae (Bee, 0120121106) genes (ASM127255v1)	ASM127255v1	Dufourea novaeangliae (Bee, 0120121106)	178035	GCA_001272555.1	metazoa_mart	10194	2680	656	1657	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/272/555//GCA_001272555.1_ASM127255v1/GCA_001272555.1_ASM127255v1_assembly_report.txt
dpersimilis_eg_gene	Drosophila persimilis (Fruit fly, MSH-3) genes (dper_caf1)	dper_caf1	Drosophila persimilis (Fruit fly, MSH-3)	7234	GCA_000005195.1	metazoa_mart	17654	6074	1018	2265	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/195//GCA_000005195.1_dper_caf1/GCA_000005195.1_dper_caf1_assembly_report.txt
dpgca000355655v1_eg_gene	Dendroctonus ponderosae (Mountain pine beetle) genes (DendPond_male_1.0)	DendPond_male_1.0	Dendroctonus ponderosae (Mountain pine beetle)	77166	GCA_000355655.1	metazoa_mart	14342	2677	644	1668	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/355/655//GCA_000355655.1_DendPond_male_1.0/GCA_000355655.1_DendPond_male_1.0_assembly_report.txt
dpgca001901225v2_eg_gene	Dermatophagoides pteronyssinus (European house dust mite, airmid) genes (ASM190122v2)	ASM190122v2	Dermatophagoides pteronyssinus (European house dust mite, airmid)	6956	GCA_001901225.2	metazoa_mart	11631	2618	656	1709	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/901/225//GCA_001901225.2_ASM190122v2/GCA_001901225.2_ASM190122v2_assembly_report.txt
dpgca021134715v1rs_eg_gene	Daphnia pulex (Common water flea, KAP4) genes (ASM2113471v1)	ASM2113471v1	Daphnia pulex (Common water flea, KAP4)	6669	GCA_021134715.1	metazoa_mart	22379	2985	735	1706	https://ftp.ncbi.nih.gov/genomes/all/GCA/021/134/715//GCA_021134715.1_ASM2113471v1/GCA_021134715.1_ASM2113471v1_assembly_report.txt
dpgca021234035v2rs_eg_gene	Daphnia pulicaria (Water flea, SC F1-1A) genes (SC_F0_13B)	SC_F0_13B	Daphnia pulicaria (Water flea, SC F1-1A)	35523	GCA_021234035.2	metazoa_mart	41982	2745	634	1635	https://ftp.ncbi.nih.gov/genomes/all/GCA/021/234/035//GCA_021234035.2_SC_F0-13Bv2/GCA_021234035.2_SC_F0-13Bv2_assembly_report.txt
dplexippus_eg_gene	Danaus plexippus plexippus (Monarch butterfly, F-2) genes (Dplex_v4)	Dplex_v4	Danaus plexippus plexippus (Monarch butterfly, F-2)	278856	GCA_009731565.1	metazoa_mart	14669	2678	660	1712	https://ftp.ncbi.nih.gov/genomes/all/GCA/009/731/565//GCA_009731565.1_Dplex_v4/GCA_009731565.1_Dplex_v4_assembly_report.txt
dpseudoobscura_eg_gene	Drosophila pseudoobscura pseudoobscura (Fruit fly, MV2-25) genes (Dpse_3.0)	Dpse_3.0	Drosophila pseudoobscura pseudoobscura (Fruit fly, MV2-25)	46245	GCA_000001765.2	metazoa_mart	17296	5512	963	2110	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/001/765//GCA_000001765.2_Dpse_3.0/GCA_000001765.2_Dpse_3.0_assembly_report.txt
dpulex_eg_gene	Daphnia pulex (Common water flea) genes (V1.0)	V1.0	Daphnia pulex (Common water flea)	6669	GCA_000187875.1	metazoa_mart	33049	4025	892	2111	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/187/875//GCA_000187875.1_V1.0/GCA_000187875.1_V1.0_assembly_report.txt
dsechellia_eg_gene	Drosophila sechellia (Fruit fly, Rob3c) genes (dsec_caf1)	dsec_caf1	Drosophila sechellia (Fruit fly, Rob3c)	7238	GCA_000005215.1	metazoa_mart	17358	6284	1026	2350	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/215//GCA_000005215.1_dsec_caf1/GCA_000005215.1_dsec_caf1_assembly_report.txt
dsgca013339745v1_eg_gene	Dermacentor silvarum (Tick, Dsil-2018) genes (ASM1333974v1)	ASM1333974v1	Dermacentor silvarum (Tick, Dsil-2018)	543639	GCA_013339745.1	metazoa_mart	35810	2795	610	1569	https://ftp.ncbi.nih.gov/genomes/all/GCA/013/339/745//GCA_013339745.1_ASM1333974v1/GCA_013339745.1_ASM1333974v1_assembly_report.txt
dsimulans_eg_gene	Drosophila simulans (Fruit fly, w501) genes (ASM75419v3)	ASM75419v3	Drosophila simulans (Fruit fly, w501)	7240	GCA_000754195.3	metazoa_mart	15546	6067	1005	2284	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/754/195//GCA_000754195.3_ASM75419v3/GCA_000754195.3_ASM75419v3_assembly_report.txt
dtinctorium_eg_gene	Dinothrombium tinctorium (Red velvet mite, UoL-WK) genes (DtinU1)	DtinU1	Dinothrombium tinctorium (Red velvet mite, UoL-WK)	1965070	GCA_003675995.1	metazoa_mart	19024	2443	533	1488	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/675/995//GCA_003675995.1_ASM367599v1/GCA_003675995.1_ASM367599v1_assembly_report.txt
dvgca003013835v2_eg_gene	Diabrotica virgifera virgifera (Western corn rootworm, Ped12-6-A-3) genes (Dvir_v2.0)	Dvir_v2.0	Diabrotica virgifera virgifera (Western corn rootworm, Ped12-6-A-3)	50390	GCA_003013835.2	metazoa_mart	25398	2797	703	1788	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/013/835//GCA_003013835.2_Dvir_v2.0/GCA_003013835.2_Dvir_v2.0_assembly_report.txt
dvgca917563875v2rs_eg_gene	Diabrotica virgifera virgifera (Western corn rootworm) genes (PGI_DIABVI_V3a)	PGI_DIABVI_V3a	Diabrotica virgifera virgifera (Western corn rootworm)	50390	GCA_917563875.2	metazoa_mart	24968	2613	677	1651	https://ftp.ncbi.nih.gov/genomes/all/GCA/917/563/875//GCA_917563875.2_PGI_DIABVI_V3a/GCA_917563875.2_PGI_DIABVI_V3a_assembly_report.txt
dvirilis_eg_gene	Drosophila virilis (Fruit fly, TSC#15010-1051.87) genes (dvir_caf1)	dvir_caf1	Drosophila virilis (Fruit fly, TSC#15010-1051.87)	7244	GCA_000005245.1	metazoa_mart	15458	6008	1011	2333	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/245//GCA_000005245.1_dvir_caf1/GCA_000005245.1_dvir_caf1_assembly_report.txt
dwillistoni_eg_gene	Drosophila willistoni (Fruit fly, TSC#14030-0811.24) genes (dwil_caf1)	dwil_caf1	Drosophila willistoni (Fruit fly, TSC#14030-0811.24)	7260	GCA_000005925.1	metazoa_mart	14940	5955	999	2255	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/925//GCA_000005925.1_dwil_caf1/GCA_000005925.1_dwil_caf1_assembly_report.txt
dyakuba_eg_gene	Drosophila yakuba (Fruit fly, Tai18E2) genes (dyak_caf1)	dyak_caf1	Drosophila yakuba (Fruit fly, Tai18E2)	7245	GCA_000005975.1	metazoa_mart	16349	6313	1045	2418	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/005/975//GCA_000005975.1_dyak_caf1/GCA_000005975.1_dyak_caf1_assembly_report.txt
eagca000591075v2_eg_gene	Eurytemora affinis (Calanoid copepod, Atlantic clade) genes (Eaff_2.0)	Eaff_2.0	Eurytemora affinis (Calanoid copepod, Atlantic clade)	88015	GCA_000591075.2	metazoa_mart	23789	2611	595	1542	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/591/075//GCA_000591075.2_Eaff_2.0/GCA_000591075.2_Eaff_2.0_assembly_report.txt
edgca001417965v1_eg_gene	Exaiptasia diaphana (Sea anemone, CC7) genes (Aiptasia_genome_1.1)	Aiptasia_genome_1.1	Exaiptasia diaphana (Sea anemone, CC7)	2652724	GCA_001417965.1	metazoa_mart	24862	2771	613	1627	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/417/965//GCA_001417965.1_Aiptasia_genome_1.1/GCA_001417965.1_Aiptasia_genome_1.1_assembly_report.txt
eggca000524195v1rs_eg_gene	Echinococcus granulosus (Dog tapeworm) genes (ASM52419v1)	ASM52419v1	Echinococcus granulosus (Dog tapeworm)	6210	GCA_000524195.1	metazoa_mart	11319	2372	645	1404	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/524/195//GCA_000524195.1_ASM52419v1/GCA_000524195.1_ASM52419v1_assembly_report.txt
emgca001483705v1rs_eg_gene	Eufriesea mexicana (Bee, 0111107269) genes (ASM148370v1)	ASM148370v1	Eufriesea mexicana (Bee, 0111107269)	516756	GCA_001483705.1	metazoa_mart	11115	2606	640	1599	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/483/705//GCA_001483705.1_ASM148370v1/GCA_001483705.1_ASM148370v1_assembly_report.txt
fcandida_eg_gene	Folsomia candida (Springtail, str. VU population) genes (ASM221717v1)	ASM221717v1	Folsomia candida (Springtail, str. VU population)	158441	GCA_002217175.1	metazoa_mart	28732	2394	564	1482	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/217/175//GCA_002217175.1_ASM221717v1/GCA_002217175.1_ASM221717v1_assembly_report.txt
gagca016097555v1_eg_gene	Gigantopelta aegis (Deep sea snail, Gae_Host) genes (Gae_host_genome)	Gae_host_genome	Gigantopelta aegis (Deep sea snail, Gae_Host)	1735272	GCA_016097555.1	metazoa_mart	26793	2957	631	1686	https://ftp.ncbi.nih.gov/genomes/all/GCA/016/097/555//GCA_016097555.1_Gae_host_genome/GCA_016097555.1_Gae_host_genome_assembly_report.txt
gausteni_eg_gene	Glossina austeni (Tsetse fly, TTRI) genes (GausT1)	GausT1	Glossina austeni (Tsetse fly, TTRI)	7395	GCA_000688735.1	metazoa_mart	20098	2792	643	1736	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/688/735//GCA_000688735.1_Glossina_austeni-1.0.3/GCA_000688735.1_Glossina_austeni-1.0.3_assembly_report.txt
gbrevipalpis_eg_gene	Glossina brevipalpis (Tsetse fly, IAEA) genes (GbreI1)	GbreI1	Glossina brevipalpis (Tsetse fly, IAEA)	37001	GCA_000671755.1	metazoa_mart	14991	2665	614	1581	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/671/755//GCA_000671755.1_Glossina_brevipalpis_1.0.3/GCA_000671755.1_Glossina_brevipalpis_1.0.3_assembly_report.txt
gfuscipes_eg_gene	Glossina fuscipes (Tsetse fly, IAEA_lab_2018) genes (Yale_Gfus_2)	Yale_Gfus_2	Glossina fuscipes (Tsetse fly, IAEA_lab_2018)	7396	GCA_014805625.1	metazoa_mart	14149	2586	592	1540	https://ftp.ncbi.nih.gov/genomes/all/GCA/014/805/625//GCA_014805625.1_Yale_Gfus_2/GCA_014805625.1_Yale_Gfus_2_assembly_report.txt
gmgca003640425v2rs_eg_gene	Galleria mellonella (Greater wax moth, Carbio01_MB) genes (ASM364042v2)	ASM364042v2	Galleria mellonella (Greater wax moth, Carbio01_MB)	7137	GCA_003640425.2	metazoa_mart	14920	2844	710	1779	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/640/425//GCA_003640425.2_ASM364042v2/GCA_003640425.2_ASM364042v2_assembly_report.txt
gmorsitans_eg_gene	Glossina morsitans morsitans (Tsetse fly, Yale) genes (GmorY1)	GmorY1	Glossina morsitans morsitans (Tsetse fly, Yale)	37546	GCA_001077435.1	metazoa_mart	12915	2923	702	1798	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/077/435//GCA_001077435.1_ASM107743v1/GCA_001077435.1_ASM107743v1_assembly_report.txt
gogca000255335v2rs_eg_gene	Galendromus occidentalis (Western predatory mite) genes (Mocc_1.0)	Mocc_1.0	Galendromus occidentalis (Western predatory mite)	34638	GCA_000255335.2	metazoa_mart	12473	2487	560	1483	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/255/335//GCA_000255335.2_Mocc_1.1/GCA_000255335.2_Mocc_1.1_assembly_report.txt
gpallidipes_eg_gene	Glossina pallidipes (Tsetse fly, IAEA) genes (GpalI1)	GpalI1	Glossina pallidipes (Tsetse fly, IAEA)	7398	GCA_000688715.1	metazoa_mart	19638	2967	711	1813	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/688/715//GCA_000688715.1_Glossina_pallidipes-1.0.3/GCA_000688715.1_Glossina_pallidipes-1.0.3_assembly_report.txt
gpalpalis_eg_gene	Glossina palpalis gambiensis (Tsetse fly, IAEA) genes (GpapI1)	GpapI1	Glossina palpalis gambiensis (Tsetse fly, IAEA)	67801	GCA_000818775.1	metazoa_mart	20535	2758	633	1649	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/818/775//GCA_000818775.1_Glossina_palpalis_gambiensis-2.0.1/GCA_000818775.1_Glossina_palpalis_gambiensis-2.0.1_assembly_report.txt
hagca000764305v2_eg_gene	Hyalella azteca (Amphipod, HAZT.00-mixed) genes (Hazt_2.0)	Hazt_2.0	Hyalella azteca (Amphipod, HAZT.00-mixed)	294128	GCA_000764305.2	metazoa_mart	20022	2776	627	1754	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/764/305//GCA_000764305.2_Hazt_2.0/GCA_000764305.2_Hazt_2.0_assembly_report.txt
hagca013339685v1_eg_gene	Hyalomma asiaticum (Tick, Hyas-2018) genes (ASM1333968v1)	ASM1333968v1	Hyalomma asiaticum (Tick, Hyas-2018)	266040	GCA_013339685.1	metazoa_mart	31112	2330	540	1352	https://ftp.ncbi.nih.gov/genomes/all/GCA/013/339/685//GCA_013339685.1_ASM1333968v1/GCA_013339685.1_ASM1333968v1_assembly_report.txt
hagca018991925v1_eg_gene	Homarus americanus (American lobster, GMGI-L3) genes (GMGI_Hamer_2.0)	GMGI_Hamer_2.0	Homarus americanus (American lobster, GMGI-L3)	6706	GCA_018991925.1	metazoa_mart	27455	2542	584	1398	https://ftp.ncbi.nih.gov/genomes/all/GCA/018/991/925//GCA_018991925.1_GMGI_Hamer_2.0/GCA_018991925.1_GMGI_Hamer_2.0_assembly_report.txt
hagca023701775v1rs_eg_gene	Helicoverpa armigera (Cotton bollworm, SCD) genes (HaSCD2)	HaSCD2	Helicoverpa armigera (Cotton bollworm, SCD)	29058	GCA_023701775.1	metazoa_mart	17079	2489	614	1575	https://ftp.ncbi.nih.gov/genomes/all/GCA/023/701/775//GCA_023701775.1_HaSCD2/GCA_023701775.1_HaSCD2_assembly_report.txt
hegca002082055v1_eg_gene	Hypsibius exemplaris (Water bear tardigrade, Z151) genes (nHd_3.1)	nHd_3.1	Hypsibius exemplaris (Water bear tardigrade, Z151)	2072580	GCA_002082055.1	metazoa_mart	20090	2437	577	1502	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/082/055//GCA_002082055.1_nHd_3.1/GCA_002082055.1_nHd_3.1_assembly_report.txt
higca905115235v1_eg_gene	Hermetia illucens (Black soldier fly) genes (iHerIll2.2.curated.20191125)	iHerIll2.2.curated.20191125	Hermetia illucens (Black soldier fly)	343691	GCA_905115235.1	metazoa_mart	15712	2575	599	1552	https://ftp.ncbi.nih.gov/genomes/all/GCA/905/115/235//GCA_905115235.1_iHerIll2.2.curated.20191125/GCA_905115235.1_iHerIll2.2.curated.20191125_assembly_report.txt
hlgca001263275v1rs_eg_gene	Habropoda laboriosa (Southeastern blueberry bee, 0110345459) genes (ASM126327v1)	ASM126327v1	Habropoda laboriosa (Southeastern blueberry bee, 0110345459)	597456	GCA_001263275.1	metazoa_mart	10352	2701	670	1683	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/263/275//GCA_001263275.1_ASM126327v1/GCA_001263275.1_ASM126327v1_assembly_report.txt
hlgca013339765v1_eg_gene	Haemaphysalis longicornis (Longhorned tick, HaeL-2018) genes (ASM1333976v1)	ASM1333976v1	Haemaphysalis longicornis (Longhorned tick, HaeL-2018)	44386	GCA_013339765.1	metazoa_mart	34124	2411	528	1302	https://ftp.ncbi.nih.gov/genomes/all/GCA/013/339/765//GCA_013339765.1_ASM1333976v1/GCA_013339765.1_ASM1333976v1_assembly_report.txt
hmelpomene_eg_gene	Heliconius melpomene (Postman butterfly) genes (Hmel1)	Hmel1	Heliconius melpomene (Postman butterfly)	34740	GCA_000313835.1	metazoa_mart	18045	2505	569	1463	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/313/835//GCA_000313835.1_ASM31383v1/GCA_000313835.1_ASM31383v1_assembly_report.txt
hmiamia_eg_gene	Hofstenia miamia (Panther worm, MS-H3) genes (HmiaM1)	HmiaM1	Hofstenia miamia (Panther worm, MS-H3)	442651	GCA_004352715.1	metazoa_mart	23481	2357	571	1425	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/352/715//GCA_004352715.1_Hmi_1.0/GCA_004352715.1_Hmi_1.0_assembly_report.txt
